sample,cross,treatment,survivalheat,survivalambient
100_1,DRxDR,Hot,22.5,NA
100_1,DRxDR,Hot,22.5,NA
100_1,DRxDR,Hot,22.5,NA
100_2,DRxDR,Hot,22.5,NA
100_2,DRxDR,Hot,22.5,NA
100_2,DRxDR,Hot,22.5,NA
100_3,DRxDR,Hot,22.5,NA
100_3,DRxDR,Hot,22.5,NA
100_3,DRxDR,Hot,22.5,NA
103_1,SBxBK,Hot,81.66667,NA
103_1,SBxBK,Hot,81.66667,NA
103_1,SBxBK,Hot,81.66667,NA
103_2,SBxBK,Hot,81.66667,NA
103_2,SBxBK,Hot,81.66667,NA
103_2,SBxBK,Hot,81.66667,NA
103_3,SBxBK,Hot,81.66667,NA
103_3,SBxBK,Hot,81.66667,NA
103_3,SBxBK,Hot,81.66667,NA
105_1,SBxSB,Hot,33.33333,NA
105_1,SBxSB,Hot,33.33333,NA
105_1,SBxSB,Hot,33.33333,NA
105_2,SBxSB,Hot,33.33333,NA
105_2,SBxSB,Hot,33.33333,NA
105_2,SBxSB,Hot,33.33333,NA
105_3,SBxSB,Hot,33.33333,NA
105_3,SBxSB,Hot,33.33333,NA
105_3,SBxSB,Hot,33.33333,NA
107_1,BKxBK,Pre,NA,NA
107_1,BKxBK,Pre,NA,NA
107_1,BKxBK,Pre,NA,NA
107_2,BKxBK,Pre,NA,NA
107_2,BKxBK,Pre,NA,NA
107_2,BKxBK,Pre,NA,NA
107_3,BKxBK,Pre,NA,NA
107_3,BKxBK,Pre,NA,NA
107_3,BKxBK,Pre,NA,NA
124_1,LSxLS,Hot,9.166667,NA
124_1,LSxLS,Hot,9.166667,NA
124_1,LSxLS,Hot,9.166667,NA
124_2,LSxLS,Hot,9.166667,NA
124_2,LSxLS,Hot,9.166667,NA
124_2,LSxLS,Hot,9.166667,NA
124_3,LSxLS,Hot,9.166667,NA
124_3,LSxLS,Hot,9.166667,NA
124_3,LSxLS,Hot,9.166667,NA
13_1,BKxBK,Hot,70,NA
13_1,BKxBK,Hot,70,NA
13_1,BKxBK,Hot,70,NA
13_2,BKxBK,Hot,70,NA
13_2,BKxBK,Hot,70,NA
13_2,BKxBK,Hot,70,NA
13_3,BKxBK,Hot,70,NA
13_3,BKxBK,Hot,70,NA
13_3,BKxBK,Hot,70,NA
131_1,BKxBK,Ambient,NA,91.66667
131_1,BKxBK,Ambient,NA,91.66667
131_1,BKxBK,Ambient,NA,91.66667
131_2,BKxBK,Ambient,NA,91.66667
131_2,BKxBK,Ambient,NA,91.66667
131_2,BKxBK,Ambient,NA,91.66667
131_3,BKxBK,Ambient,NA,91.66667
131_3,BKxBK,Ambient,NA,91.66667
131_3,BKxBK,Ambient,NA,91.66667
132_1,CUxSB,Hot,79.16667,NA
132_1,CUxSB,Hot,79.16667,NA
132_1,CUxSB,Hot,79.16667,NA
132_2,CUxSB,Hot,79.16667,NA
132_2,CUxSB,Hot,79.16667,NA
132_2,CUxSB,Hot,79.16667,NA
132_3,CUxSB,Hot,79.16667,NA
132_3,CUxSB,Hot,79.16667,NA
132_3,CUxSB,Hot,79.16667,NA
14_1,DRxDR,Pre,NA,NA
14_1,DRxDR,Pre,NA,NA
14_1,DRxDR,Pre,NA,NA
14_2,DRxDR,Pre,NA,NA
14_2,DRxDR,Pre,NA,NA
14_2,DRxDR,Pre,NA,NA
14_3,DRxDR,Pre,NA,NA
14_3,DRxDR,Pre,NA,NA
14_3,DRxDR,Pre,NA,NA
144_1,CUxBK,Ambient,NA,97.5
144_1,CUxBK,Ambient,NA,97.5
144_1,CUxBK,Ambient,NA,97.5
144_2,CUxBK,Ambient,NA,97.5
144_2,CUxBK,Ambient,NA,97.5
144_2,CUxBK,Ambient,NA,97.5
144_3,CUxBK,Ambient,NA,97.5
144_3,CUxBK,Ambient,NA,97.5
144_3,CUxBK,Ambient,NA,97.5
150_1,LSxSB,Ambient,NA,99.41176
150_1,LSxSB,Ambient,NA,99.41176
150_1,LSxSB,Ambient,NA,99.41176
150_2,LSxSB,Ambient,NA,99.41176
150_2,LSxSB,Ambient,NA,99.41176
150_2,LSxSB,Ambient,NA,99.41176
150_3,LSxSB,Ambient,NA,99.41176
150_3,LSxSB,Ambient,NA,99.41176
150_3,LSxSB,Ambient,NA,99.41176
152_1,LSxCU,Hot,47.91667,NA
152_1,LSxCU,Hot,47.91667,NA
152_1,LSxCU,Hot,47.91667,NA
152_2,LSxCU,Hot,47.91667,NA
152_2,LSxCU,Hot,47.91667,NA
