Order,Fastq filename,Our sample name,sample,Cross,Treatment,Zoox,Tank,Treatment,58daysHeatSurv
1,13_S42_L003_R1_001.fastq.gz,13,13,CUxCU,SST3A,SS,T3,Ambient,100
2,13_S42_L004_R1_001.fastq.gz,13,13,CUxCU,SST3A,SS,T3,Ambient,100
3,13_S42_L005_R1_001.fastq.gz,13,13,CUxCU,SST3A,SS,T3,Ambient,100
4,14_S43_L003_R1_001.fastq.gz,14,14,CUxCU,SST1A,SS,T1,Ambient,100
5,14_S43_L004_R1_001.fastq.gz,14,14,CUxCU,SST1A,SS,T1,Ambient,100
6,14_S43_L005_R1_001.fastq.gz,14,14,CUxCU,SST1A,SS,T1,Ambient,100
7,15_S44_L003_R1_001.fastq.gz,15,15,CUxCU,SST2A,SS,T2,Ambient,80
8,15_S44_L004_R1_001.fastq.gz,15,15,CUxCU,SST2A,SS,T2,Ambient,80
9,15_S44_L005_R1_001.fastq.gz,15,15,CUxCU,SST2A,SS,T2,Ambient,80
10,16_S45_L003_R1_001.fastq.gz,16,16,CUxCU,D1T1A,D1,T1,Ambient,88.88
11,16_S45_L004_R1_001.fastq.gz,16,16,CUxCU,D1T1A,D1,T1,Ambient,88.88
12,16_S45_L005_R1_001.fastq.gz,16,16,CUxCU,D1T1A,D1,T1,Ambient,88.88
13,17_S46_L003_R1_001.fastq.gz,17,17,CUxCU,C1T1A,C1,T1,Ambient,90.9
14,17_S46_L004_R1_001.fastq.gz,17,17,CUxCU,C1T1A,C1,T1,Ambient,90.9
15,17_S46_L005_R1_001.fastq.gz,17,17,CUxCU,C1T1A,C1,T1,Ambient,90.9
16,18_S47_L003_R1_001.fastq.gz,18,18,CUxCU,C1T2A,C1,T2,Ambient,100
17,18_S47_L004_R1_001.fastq.gz,18,18,CUxCU,C1T2A,C1,T2,Ambient,100
18,18_S47_L005_R1_001.fastq.gz,18,18,CUxCU,C1T2A,C1,T2,Ambient,100
19,19_S48_L003_R1_001.fastq.gz,19,19,CUxCU,C1T3A,C1,T3,Ambient,91.66
20,19_S48_L004_R1_001.fastq.gz,19,19,CUxCU,C1T3A,C1,T3,Ambient,91.66
21,19_S48_L005_R1_001.fastq.gz,19,19,CUxCU,C1T3A,C1,T3,Ambient,91.66
22,20_S49_L003_R1_001.fastq.gz,20,20,CUxCU,D1T3A,D1,T3,Ambient,100
23,20_S49_L004_R1_001.fastq.gz,20,20,CUxCU,D1T3A,D1,T3,Ambient,100
24,20_S49_L005_R1_001.fastq.gz,20,20,CUxCU,D1T3A,D1,T3,Ambient,100
25,21_S50_L003_R1_001.fastq.gz,21,21,CUxCU,D1T2A,D1,T2,Ambient,85.7
26,21_S50_L004_R1_001.fastq.gz,21,21,CUxCU,D1T2A,D1,T2,Ambient,85.7
27,21_S50_L005_R1_001.fastq.gz,21,21,CUxCU,D1T2A,D1,T2,Ambient,85.7
28,22_S51_L003_R1_001.fastq.gz,22,22,CUxCU,SEDT2A,SED,T2,Ambient,95.65217
29,22_S51_L004_R1_001.fastq.gz,22,22,CUxCU,SEDT2A,SED,T2,Ambient,95.65217
30,22_S51_L005_R1_001.fastq.gz,22,22,CUxCU,SEDT2A,SED,T2,Ambient,95.65217
31,23_S52_L003_R1_001.fastq.gz,23,23,CUxCU,SEDT1A,SED,T1,Ambient,76.47059
32,23_S52_L004_R1_001.fastq.gz,23,23,CUxCU,SEDT1A,SED,T1,Ambient,76.47059
33,23_S52_L005_R1_001.fastq.gz,23,23,CUxCU,SEDT1A,SED,T1,Ambient,76.47059
34,24_S53_L003_R1_001.fastq.gz,24,24,CUxCU,SEDT3A,SED,T3,Ambient,92.85714
35,24_S53_L004_R1_001.fastq.gz,24,24,CUxCU,SEDT3A,SED,T3,Ambient,92.85714
36,24_S53_L005_R1_001.fastq.gz,24,24,CUxCU,SEDT3A,SED,T3,Ambient,92.85714
40,33_S160_L003_R1_001.fastq.gz,33,33,SBxSB,D1T2H,D1,T2,Hot,60
41,33_S160_L004_R1_001.fastq.gz,33,33,SBxSB,D1T2H,D1,T2,Hot,60
42,33_S160_L005_R1_001.fastq.gz,33,33,SBxSB,D1T2H,D1,T2,Hot,60
88,60_S274_L006_R1_001.fastq.gz,60,60,SBxSB,D1T3H,D1,T3,Hot,100
89,60_S274_L007_R1_001.fastq.gz,60,60,SBxSB,D1T3H,D1,T3,Hot,100
90,60_S274_L008_R1_001.fastq.gz,60,60,SBxSB,D1T3H,D1,T3,Hot,100
